quarter_date,strat,ticker,rank_in_strat,score_level2,selected_reason,pair_corr,score_gap_vs_top1,active_review_date,switch_flag,switch_reason,ter_pct,ter_dec,nom,label
2023-09-01,STRAT3,DISFCPE LX Equity,1,1.62240869256457,top1,,0.0,2023-02-01,0,same_ticker,1.11,0.0111,DANSKE INV FX IN GL VAL-CPEC,DANSKE INV FX IN GL VAL-CPEC
2023-09-01,STRAT3,GBSE GR Equity,2,1.1146362334904707,top2_diversified,-0.06158394900143847,0.5077724590740993,2023-02-01,0,same_ticker,0.12,0.0012,WT PHYSICAL GOLD-EUR DLY HDG,WT PHYSICAL GOLD-EUR DLY HDG
2023-10-02,STRAT1,LYEGTIE ID Equity,1,1.0813602733142003,top1,,0.0,2023-02-01,0,same_ticker,1.171,0.01171,AM MT EPSILON GLOBAL TR-IE,AM MT EPSILON GLOBAL TR-IE
2023-10-02,STRAT2,CARTMTE LX Equity,1,1.462655567722246,top1,,0.0,2023-02-01,0,same_ticker,1.557,0.015569999999999999,DNB-TMT LNG SHRT EQUTS-A AEU,DNB-TMT LNG SHRT EQUTS-A AEU
2023-10-02,STRAT2,TRESGFE ID Equity,2,1.4111167626894385,top2_diversified,0.18235271291281493,0.05153880503280739,2023-02-01,0,same_ticker,1.47,0.0147,TRIUM ESG EMISSIONS IMP-FEUR,TRIUM ESG EMISSIONS IMP-FEUR
2023-10-02,STRAT3,DISFCPE LX Equity,1,1.5029950715016758,top1,,0.0,2023-02-01,0,same_ticker,1.11,0.0111,DANSKE INV FX IN GL VAL-CPEC,DANSKE INV FX IN GL VAL-CPEC
2023-10-02,STRAT3,GBSE GR Equity,2,0.8361717889614216,top2_diversified,-0.06158394900143847,0.5077724590740993,2023-02-01,0,hold_buffer,0.12,0.0012,WT PHYSICAL GOLD-EUR DLY HDG,WT PHYSICAL GOLD-EUR DLY HDG
2023-11-01,STRAT1,LYEGTIE ID Equity,1,1.0205497591728876,top1,,0.0,2023-02-01,0,same_ticker,1.171,0.01171,AM MT EPSILON GLOBAL TR-IE,AM MT EPSILON GLOBAL TR-IE
2023-11-01,STRAT2,TRESGFE ID Equity,1,1.4961619479215817,top1,,0.0,2023-02-01,1,better_score,1.47,0.0147,TRIUM ESG EMISSIONS IMP-FEUR,TRIUM ESG EMISSIONS IMP-FEUR
2023-11-01,STRAT2,UGEEIBA ID Equity,2,1.0771138323237495,top2_diversified,0.12197361523614769,0.4190481155978323,2023-02-01,1,deduplicate,0.13,0.0013,UBS GLOBAL EQTY LNG SHT-EIBA,UBS GLOBAL EQTY LNG SHT-EIBA
