,AEABSIA ID Equity
2022-05-13,0.007762392208462746
2022-05-17,0.007803063429774418
2022-05-18,0.00828541031237228
2022-05-19,0.007845534605227186
2022-05-20,0.008624059974916123
2022-05-24,0.009831435967875325
2022-05-25,0.009903928990763628
2022-05-26,0.007918901981979587
2022-05-27,0.007798493381300037
2022-05-31,0.008237586714405233
2022-06-01,0.008140139135492516
2022-06-02,0.008463450858702818
2022-06-03,0.00865795856257006
2022-06-07,0.009042290443676711
2022-06-08,0.009070727070034661
2022-06-09,0.008188775511513691
2022-06-10,0.008280494947065188
2022-06-14,0.00857137820145087
2022-06-15,0.008225254960804725
2022-06-16,0.008461709569086389
2022-06-17,0.008693004452061755
2022-06-21,0.008552091829515225
2022-06-22,0.008350724008085638
2022-06-23,0.00783426229133021
2022-06-24,0.006692533382979604
2022-06-28,0.007224252366753431
2022-06-29,0.0074214926885275475
2022-06-30,0.008048848291989654
2022-07-01,0.0067744292254704195
2022-07-05,0.00664613713651914
2022-07-06,0.002181257451080012
2022-07-07,0.0031326467425464495
2022-07-08,0.0031263054932066077
2022-07-12,0.0031526031650352636
2022-07-13,0.004607505833790289
2022-07-14,0.004149895841844208
2022-07-15,0.004340624112228683
2022-07-19,0.004725849125935904
2022-07-20,0.005183551821174206
2022-07-21,0.005982439685354512
2022-07-22,0.0068298915324783525
2022-07-26,0.007200562193924107
2022-07-27,0.007321234119675226
2022-07-28,0.007679884210114708
2022-07-29,0.008460799852256043
2022-08-02,0.008353113599537805
2022-08-03,0.009125011602345075
2022-08-04,0.008948675441741391
2022-08-05,0.009232571009895902
2022-08-09,0.008301207315796555
2022-08-10,0.008696586823168314
2022-08-11,0.009131060548324167
2022-08-12,0.009366097105984047
2022-08-16,0.009378083137559327
2022-08-17,0.008471879107569684
2022-08-18,0.008351765091782678
2022-08-19,0.008027620500619606
2022-08-23,0.007681653008642991
2022-08-24,0.007682024946954152
2022-08-25,0.007732361140565185
2022-08-26,0.0074024204599743215
2022-08-30,0.0078015842687478975
2022-08-31,0.007973743502667571
2022-09-01,0.007643747428789447
2022-09-02,0.007999039570655722
2022-09-06,0.008287937451604574
2022-09-07,0.009059999437865217
2022-09-08,0.00881089922443465
2022-09-09,0.008879589836040418
2022-09-13,0.008842484621108529
2022-09-14,0.008873487224501975
2022-09-15,0.009186762528353393
2022-09-16,0.008990698398526186
2022-09-20,0.009020146356219429
2022-09-21,0.0085890111930904
2022-09-22,0.006453757685445531
2022-09-23,0.0064792909128886245
2022-09-27,0.006633901646608093
2022-09-28,0.005325261457104119
2022-09-29,0.010017183149398373
2022-09-30,0.005485009036141134
2022-10-04,-0.002308265663542607
2022-10-05,-0.002038860956344659
2022-10-06,-0.0019619802254458607
2022-10-07,-0.0009131574895073469
2022-10-11,-0.0014313827175995383
2022-10-12,-0.0015645272107248653
2022-10-13,-0.0012520364454199062
2022-10-14,-0.0012798912899199832
2022-10-18,-0.0012813983618715386
2022-10-19,-0.0012427969614282157
2022-10-20,-0.0010908381409843167
2022-10-21,-0.001293255842653932
2022-10-25,-0.0004249966017421761
2022-10-26,-0.00033921438841468156
2022-10-27,6.731415067550278e-05
2022-10-28,0.00010720167759463724
2022-11-01,0.0041328988846466375
2022-11-02,0.005086431250821319
2022-11-03,0.0026877174610789446
2022-11-04,0.003392810732065602
2022-11-08,0.0016703810740860258
2022-11-09,0.0012650831590956895
2022-11-10,0.008181196568902102
2022-11-11,0.010110914947995627
2022-11-15,0.011732258476771082
2022-11-16,0.011514461198890632
2022-11-17,0.011399360051368535
2022-11-18,0.010001172684723673
2022-11-22,0.011138482661783645
2022-11-23,0.012570110358995714
2022-11-24,0.01288645073214029
2022-11-25,0.01591122824575687
2022-11-29,0.01628255965784083
2022-11-30,0.01636406144375039
