date,portfolio_return_gross,portfolio_return_net_est,portfolio_nav_gross,portfolio_nav_net_est,switching_drag_nav,portfolio_ter_bps_annualized,switching_drag_daily,allocation_turnover_daily
2021-11-01,0.0013191309498170045,0.0013191309498170045,1.1731212375809443,1.1731212375809443,0.0,35.86828950724857,0.0,0.0
2021-11-02,0.0030155612972221357,0.0030155612972221357,1.1766588565819427,1.1766588565819427,0.0,35.86828950724857,0.0,0.0
2021-11-03,0.0001342148661320958,0.0001342148661320958,1.1768167816928619,1.1768167816928619,0.0,35.86828950724857,0.0,0.0
2021-11-04,0.006023644589105795,0.006023644589105795,1.1839055077322749,1.1839055077322749,0.0,35.86828950724857,0.0,0.0
2021-11-05,0.003707857791871916,0.003707857791871916,1.18829526099396,1.18829526099396,0.0,35.86828950724857,0.0,0.0
2021-11-08,-0.0017551945421392379,-0.0017551945421392379,1.1862095716374135,1.1862095716374135,0.0,35.86828950724857,0.0,0.0
2021-11-09,-0.0021484102923103794,-0.0021484102923103794,1.1836611067848706,1.1836611067848706,0.0,35.86828950724857,0.0,0.0
2021-11-10,0.0021754831613708336,0.0021754831613708336,1.1862361415914504,1.1862361415914504,0.0,35.86828950724857,0.0,0.0
2021-11-11,0.00043890386041628426,0.00043890386041628426,1.1867567852133603,1.1867567852133603,0.0,35.86828950724857,0.0,0.0
2021-11-12,0.003998000007921776,0.003998000007921776,1.1915014388500444,1.1915014388500444,0.0,35.86828950724857,0.0,0.0
2021-11-15,0.0026200313740448733,0.0026200313740448733,1.1946232100020513,1.1946232100020513,0.0,35.86828950724857,0.0,0.0
2021-11-16,0.0055087863359323044,0.0055087863359323044,1.201204134017898,1.201204134017898,0.0,35.86828950724857,0.0,0.0
2021-11-17,-0.0016727532386007328,-0.0016727532386007328,1.199194815912499,1.199194815912499,0.0,35.86828950724857,0.0,0.0
2021-11-18,-0.002102133119537329,-0.002102133119537329,1.1966739487731919,1.1966739487731919,0.0,35.86828950724857,0.0,0.0
2021-11-19,0.0037949335772917373,0.0037949335772917373,1.2012152469224615,1.2012152469224615,0.0,35.86828950724857,0.0,0.0
2021-11-22,0.002561213013775876,0.002561213013775876,1.2042918150452255,1.2042918150452255,0.0,35.86828950724857,0.0,0.0
2021-11-23,-0.008637394936842758,-0.008637394936842758,1.1938898710194727,1.1938898710194727,0.0,35.86828950724857,0.0,0.0
2021-11-24,0.005642403716443978,0.005642403716443978,1.2006262796647378,1.2006262796647378,0.0,35.86828950724857,0.0,0.0
2021-11-25,0.0018688234586334285,0.0018688234586334285,1.2028700382212272,1.2028700382212272,0.0,35.86828950724857,0.0,0.0
2021-11-26,-0.020036074730818115,-0.020036074730818115,1.1787692442439646,1.1787692442439646,0.0,35.86828950724857,0.0,0.0
2021-11-29,0.007412929923718892,0.007412929923718892,1.18750737804778,1.18750737804778,0.0,35.86828950724857,0.0,0.0
2021-11-30,-0.009035850030238561,-0.009035850030238561,1.1767772394699385,1.1767772394699385,0.0,35.86828950724857,0.0,0.0
2021-12-01,0.006389551302145073,0.006389551302145073,1.1842963180127284,1.1842963180127284,0.0,35.86828950724857,0.0,0.0
2021-12-02,-0.009919629430499028,-0.009919629430499028,1.1725485374021376,1.1725485374021376,0.0,35.86828950724857,0.0,0.0
2021-12-03,-0.0013948843567176434,-0.0013948843567176434,1.1709129677898231,1.1709129677898231,0.0,35.86828950724857,0.0,0.0
