date,RegimeScore,regime,q_low_roll,q_high_roll,vol_63,corr_eq_bond_63,mom_63
2021-05-24 00:00:00,0.4837972818617844,Stress,-1.5453574675304722,0.049640573634970785,0.1001665749934442,0.25626828524225975,0.03801943241764927
2021-05-25 00:00:00,0.6727481375433773,Stress,-1.5372912390863216,0.05274581487897091,0.09872918177236287,0.21955394993346053,0.04779998822131071
2021-05-26 00:00:00,0.34347881046236906,Stress,-1.5274191266699373,0.05505250972596269,0.09786624274869997,0.25448835104659273,0.057385886765977556
2021-05-27 00:00:00,0.40201025755898295,Stress,-1.5175470142535528,0.06087083944701262,0.09344476939220804,0.15699514175702176,0.04351293399286127
2021-05-28 00:00:00,0.017473740530280474,Stress,-1.5102589184846935,0.0561880961763561,0.09303129383579793,0.15951764577808414,0.05142604355011904
2021-05-31 00:00:00,-0.06307105851942296,Stress,-1.508138856010885,0.05533640633856096,0.09357257712640987,0.14475233437999746,0.04861914941321799
2021-06-01 00:00:00,-0.09121768219187149,Stress,-1.5060187935370764,0.05448471650076599,0.092749257304817,0.15098588942361102,0.0589472150531587
2021-06-02 00:00:00,-0.18624280663923648,Stress,-1.5038987310632679,0.053633026662970845,0.09114136973722242,0.1560393707036577,0.07122484922145222
2021-06-03 00:00:00,-0.3201218649115136,Stress,-1.5010354780755577,0.05230220898697083,0.0794935123912616,0.20369160490819682,0.046672512153853374
2021-06-04 00:00:00,0.1347673662917208,Stress,-1.4981722250878475,0.054768613113364256,0.07924748842128031,0.1965964625030474,0.04484233000046478
2021-06-07 00:00:00,0.13732550526846843,Stress,-1.4953089721001374,0.058671416117982954,0.07926988545029123,0.19771947931016332,0.04115615236812964
2021-06-08 00:00:00,0.21180599995843122,Stress,-1.4903897276852478,0.07406737942118687,0.0786104945197134,0.1741040850666023,0.036417914961569986
2021-06-09 00:00:00,0.15562802040337498,Stress,-1.4844424875567683,0.1066167961854835,0.07803500945179988,0.158484979656545,0.04278155650550608
2021-06-10 00:00:00,-0.00736710518652664,Stress,-1.478495247428289,0.08972645412174048,0.0776409018110469,0.14685838408429136,0.03982235008775725
2021-06-11 00:00:00,-0.01870279782261588,Stress,-1.4743086334036821,0.07626680275021652,0.07692366586300492,0.16787685598878938,0.037501447450432934
2021-06-14 00:00:00,0.1323721729007979,Stress,-1.47364327158682,0.11080979417217537,0.07578935878579299,0.13080020278540708,0.042697006520784786
