,alpha_daily
2022-02-02,-0.0012586249031208625
2022-02-03,-1.5510499283208113e-05
2022-02-04,-0.0003445052120922058
2022-02-07,7.111227093176034e-06
2022-02-08,0.0020082903158671764
2022-02-09,-0.0014767976475672697
2022-02-10,0.005400355510655918
2022-02-11,0.0035276128552116123
2022-02-14,3.807316338995741e-05
2022-02-15,-0.0020722463521934804
2022-02-16,-0.002733707468689279
2022-02-17,-0.0036690390133923712
2022-02-18,0.0007346827085434742
2022-02-21,5.6221413483368424e-05
2022-02-22,-0.0003709440416027943
2022-02-23,-0.00029528585872249855
2022-02-24,0.0005342870276042304
2022-02-25,0.00017471918137733318
2022-02-28,-6.457860638261578e-05
2022-03-01,-0.007530776358443168
2022-03-02,0.00645150397364679
2022-03-03,0.0029454518888922397
2022-03-04,0.0017069944663606232
2022-03-07,7.254535743435915e-05
2022-03-08,0.001170026785384501
2022-03-09,0.00045361941516305557
2022-03-10,0.001155580380740226
2022-03-11,0.003945256518913398
2022-03-14,0.00010227214454758857
2022-03-15,0.003137979200063093
2022-03-16,-0.004839611864345792
2022-03-17,-2.521984153191839e-05
2022-03-18,-8.394999131492017e-05
2022-03-21,2.642244381606109e-05
2022-03-22,0.0031980640705311482
2022-03-23,0.0012559693040941709
2022-03-24,0.002856782466310884
2022-03-25,0.0043490123417975
2022-03-28,-6.665159313675305e-06
2022-03-29,-0.0024525092027880583
2022-03-30,-0.0007726866701185994
2022-03-31,0.00043319882728133175
2022-04-01,0.004394285452860917
2022-04-04,-6.491506094251573e-05
2022-04-05,0.003987434979879991
2022-04-06,-0.0008244678685691112
2022-04-07,0.0004667377116531604
2022-04-08,0.0022253534778297382
2022-04-11,0.00010519004938294011
2022-04-12,-0.0014467551122744882
2022-04-13,0.0004488220098020132
2022-04-14,0.0036694883595326834
2022-04-15,0.0
2022-04-18,0.0
2022-04-19,2.8438031898823133e-05
2022-04-20,-0.0025390479048996496
2022-04-21,0.0011347326184718643
2022-04-22,-0.0028862512509518702
2022-04-25,2.285354586061143e-05
2022-04-26,-0.0015715035986939739
2022-04-27,0.0017432184601889461
2022-04-28,0.007303874226767821
2022-04-29,-0.0010057536033474162
2022-05-02,0.0001024307267405248
2022-05-03,-7.343480906369961e-05
2022-05-04,-0.001813921412427001
2022-05-05,0.0013375214273374755
2022-05-06,0.000910604324810789
2022-05-09,0.00010173125649425836
2022-05-10,-0.00041450551765295193
2022-05-11,-0.0021907111252472285
2022-05-12,-0.003102038481460247
2022-05-13,0.0040100270820278465
2022-05-16,2.0504144363724817e-05
2022-05-17,0.0010538600228669676
2022-05-18,-0.000547499030496967
2022-05-19,-0.001002979676203034
2022-05-20,0.0010141953703179036
2022-05-23,-1.542349577287561e-05
2022-05-24,-0.003359015500799561
2022-05-25,0.00025524022460371784
2022-05-26,0.0005985575078846144
2022-05-27,-0.0009303699294225817
2022-05-30,1.5704114951189366e-05
2022-05-31,0.00042370325763265836
2022-06-01,0.003952193236063849
2022-06-02,6.228665730624753e-06
2022-06-03,0.0016844509091123547
2022-06-06,-2.1198571054550583e-05
2022-06-07,-0.00010838346829720178
2022-06-08,0.0023894503238818927
2022-06-09,0.0037063277003261713
2022-06-10,0.0049625977725244325
2022-06-13,0.00021310045268418314
2022-06-14,0.0032006243762259384
2022-06-15,-0.005363005209647358
2022-06-16,-0.0012573815396074266
2022-06-17,0.0007856411868510921
2022-06-20,6.969280228139143e-06
2022-06-21,-0.00013770318688908017
2022-06-22,-0.004333663829162811
2022-06-23,-0.00538990721200801
2022-06-24,-0.0009326831993999216
2022-06-27,2.639526333774522e-05
2022-06-28,0.0017239940371887147
2022-06-29,0.000414701425883738
2022-06-30,-0.004768269092994968
2022-07-01,-0.005404926941442108
2022-07-04,3.2212065197108436e-05
2022-07-05,0.00038816792605809476
2022-07-06,-0.0012096247376505126
2022-07-07,0.0031414577780237347
2022-07-08,0.0019006614725674185
2022-07-11,-2.8723956072675025e-05
2022-07-12,-0.004095511795829144
2022-07-13,0.0037697449127762762
2022-07-14,0.0020077486598499505
2022-07-15,0.000607103825581868
2022-07-18,1.3175872494652527e-05
2022-07-19,-0.000855597071352192
2022-07-20,0.0004665712139415284
2022-07-21,-0.0009045571456953737
2022-07-22,-0.006961430844005722
2022-07-25,-9.619292565988602e-06
2022-07-26,0.0018839409991421694
2022-07-27,-0.001151512701759462
2022-07-28,-0.0035096116155882984
2022-07-29,-0.0011478207397020328
2022-08-01,-4.299215333382353e-05
2022-08-02,6.994330344296962e-05
2022-08-03,0.0030373375747918974
2022-08-04,-0.0012539636506732408
2022-08-05,0.01108997209640513
2022-08-08,-5.522161517451092e-05
2022-08-09,-0.001514340458174694
2022-08-10,-0.0013847539685784937
2022-08-11,0.0010574339103491218
2022-08-12,0.0031945789971757556
2022-08-15,-8.124929453479841e-05
2022-08-16,-1.0075274434635482e-05
2022-08-17,0.004143051072720116
2022-08-18,0.000362633190209499
2022-08-19,0.0012945887556423676
2022-08-22,7.139677456826226e-05
2022-08-23,0.000130910401965996
2022-08-24,0.0025655189509402416
2022-08-25,-0.001411284705443527
2022-08-26,0.002207493402101839
